PlayerName,PlayerTeam,PlayerID,PlayerKDRatio,PlayerADR,PlayerMaxKills,PlayerTotalKills,PlayerTotalDeaths,PlayerTotalAssists,PlayerFirstKills,PlayerFirstDeaths
aspas,MIBR,8480,1.66,164.7,32,319,192,44,67,23
RieNs,TH,10971,1.14,148.9,23,203,178,85,18,12
brawk,NRG,2172,1.17,144.7,28,275,236,128,26,23
kaajak,FNC,9554,1.2,147.9,30,372,311,90,95,59
johnqt,SEN,1265,1.13,118.7,17,85,75,34,5,5
Smoggy,EDG,4742,1.09,135.3,26,88,81,48,11,5
leaf,G2,7873,1.13,151.5,30,213,188,69,30,24
something,PRX,17086,1.17,141,28,281,240,94,57,48
Knight,BLG,4774,0.97,135.4,20,65,67,27,8,9
skuba,NRG,11118,1.17,124.9,28,266,228,94,21,24
Chronicle,FNC,458,1.07,138.9,31,326,304,125,42,35
SpiritZ1,DRG,31753,1.03,155.7,27,80,78,32,21,11
NoMan,XLG,11527,1.18,140.7,23,123,104,30,16,16
cortezia,MIBR,5395,1.27,130.2,25,237,186,68,35,22
Cloud,GX,4181,1.02,135.2,23,179,176,85,18,16
Alfajer,FNC,9810,1.14,141.3,25,299,263,72,53,41
jawgemo,G2,3993,1.09,141.7,28,214,196,54,53,38
Jinggg,PRX,7378,1.1,146,28,278,252,84,43,47
Verno,MIBR,21668,1.15,129.3,22,220,191,110,32,19
ZmjjKK,EDG,3520,1.08,143.5,23,97,90,22,25,23
iZu,T1,29833,1.09,124.8,22,113,104,22,21,15
Meteor,T1,13039,0.96,144.2,29,110,114,26,25,11
Flashback,DRX,35013,1.12,145.1,26,380,338,78,80,78
valyn,G2,3885,0.97,124.1,21,173,179,100,24,20
f0rsakeN,PRX,9801,1.04,135.5,28,266,257,149,31,44
Wo0t,TH,21328,1.05,138.2,25,193,183,40,34,30
happywei,XLG,37927,1.06,145.8,24,118,111,50,15,23
nAts,TL,457,1.06,126.7,27,102,96,27,16,16
HYUNMIN,DRX,28400,1.11,139.4,36,362,327,92,53,44
MaKo,DRX,4462,1.02,108.9,21,291,284,177,36,42
d4v41,PRX,9803,1.03,127.3,20,238,230,93,19,31
Viva,XLG,36415,0.96,119.6,23,94,98,46,10,11
westside,GX,34684,1,121.3,20,181,181,49,23,27
mada,NRG,5132,1.06,137.2,31,284,268,71,65,77
keiko,TL,11494,0.94,131,18,101,108,38,19,12
Demon1,DRG,26171,1.02,117,21,64,63,16,4,4
s0m,NRG,4164,0.97,124.2,23,258,266,140,30,39
nobody,EDG,3017,0.97,115.2,20,74,76,19,5,8
artzin,MIBR,5957,1.05,127,24,219,209,124,41,50
DH,T1,43057,0.9,122.4,27,95,106,57,10,16
trent,G2,15500,0.98,117.6,21,166,170,63,7,22
zekken,SEN,4004,0.94,157.7,23,94,100,39,20,26
Ethan,NRG,11225,0.93,115.1,23,225,243,157,28,43
ara,GX,11332,1.01,133.8,27,189,187,35,48,40
crashies,FNC,4,0.97,120.5,22,283,292,129,28,35
Jemkin,RRQ,24895,1.06,132.8,26,102,96,18,23,18
xenom,MIBR,20240,0.95,96.1,18,180,190,175,18,20
Rarga,XLG,22047,0.98,129.8,21,115,117,33,27,16
N4RRATE,SEN,36245,0.87,121.2,19,79,91,49,8,13
BeYN,DRX,4678,0.98,112.1,24,288,294,126,30,27
doma,FNC,1369,0.9,119.8,13,36,40,13,5,4
nephh,BLG,10698,0.88,104.8,18,53,60,28,5,8
Levius,BLG,40845,0.99,122.1,26,67,68,16,12,9
MiniBoo,TH,18350,0.95,134.9,23,183,192,41,48,44
kamo,TL,14681,0.94,128.4,22,100,106,18,21,36
Flickless,GX,6959,0.83,115.8,17,146,175,122,15,17
Monyet,RRQ,8497,0.88,109.6,21,84,96,55,7,12
JonahP,G2,4581,0.84,108.3,26,155,184,99,22,28
Nicc,DRG,11524,0.94,121.7,25,64,68,27,2,6
Kushy,RRQ,4866,0.85,120.7,20,86,101,40,10,17
benjyfishy,TH,29873,0.83,115,25,152,184,71,16,17
free1ng,DRX,1916,0.88,110.7,23,270,308,96,43,43
CHICHOO,EDG,15559,0.9,113.5,21,70,78,30,8,10
Boaster,FNC,438,0.77,94,24,220,285,172,18,36
Boo,TH,1144,0.74,93.1,16,128,172,135,14,23
trexx,TL,2168,0.73,109.7,17,76,104,39,6,10
BuZz,T1,804,0.92,127.4,31,103,112,37,9,27
xffero,RRQ,4871,0.88,113.5,16,83,94,27,16,16
PatMen,PRX,13744,0.83,106.5,21,196,235,76,14,22
Akeman,DRG,52904,0.88,124.4,20,68,77,16,15,13
Flex1n,DRG,4705,0.85,119,20,61,72,39,10,12
grubinho,GX,5550,0.8,108,17,156,196,102,30,27
crazyguy,RRQ,1430,0.71,109.8,15,67,94,45,5,12
Jieni7,EDG,51244,0.83,117.9,21,77,93,27,14,10
paTiTek,TL,309,0.74,101.1,16,78,106,54,4,8
Zellsis,SEN,729,0.77,99.7,16,68,88,34,17,14
bang,SEN,3880,0.79,92.4,15,67,85,37,7,11
coconut,XLG,12365,0.71,92.6,16,79,112,69,12,11
stax,T1,485,0.69,98.8,16,73,106,46,4,10
rushia,BLG,48878,0.59,102.3,12,43,73,31,6,10
whzy,BLG,4885,0.61,101.9,13,49,80,21,10,18
